x-coord of first dot, y-coord of first dot, freq
0, 3, 1,
0, 4, 1,
0, 6, 1,
0, 7, 1,
0, 8, 1,
0, 11, 3,
0, 14, 1,
0, 16, 2,
0, 17, 1,
1, 8, 2,
1, 9, 1,
1, 17, 1,
1, 18, 2,
2, 1, 1,
2, 5, 1,
2, 6, 1,
2, 7, 1,
2, 8, 1,
2, 14, 1,
2, 16, 1,
2, 18, 1,
3, 1, 1,
3, 5, 1,
3, 6, 1,
3, 13, 1,
3, 16, 2,
3, 18, 1,
3, 20, 2,
4, 3, 1,
4, 4, 1,
4, 6, 2,
4, 10, 2,
4, 13, 1,
5, 1, 1,
5, 3, 1,
5, 4, 1,
5, 5, 2,
5, 9, 1,
5, 10, 1,
5, 11, 1,
5, 16, 1,
5, 20, 1,
5, 21, 1,
5, 22, 2,
6, 1, 1,
6, 3, 1,
6, 17, 2,
6, 22, 1,
6, 23, 1,
7, 1, 1,
7, 2, 2,
7, 3, 1,
7, 16, 2,
7, 18, 1,
7, 20, 2,
7, 21, 1,
7, 23, 2,
8, 2, 1,
8, 6, 1,
8, 12, 1,
8, 15, 2,
9, 5, 2,
9, 6, 1,
9, 14, 2,
9, 21, 1,
9, 23, 1,
10, 1, 3,
10, 6, 1,
10, 19, 1,
10, 20, 1,
11, 9, 1,
11, 15, 1,
12, 4, 1,
12, 5, 1,
12, 18, 1,
12, 23, 3,
13, 1, 1,
13, 3, 1,
13, 10, 2,
13, 18, 1,
13, 19, 2,
14, 9, 2,
14, 12, 1,
14, 18, 1,
14, 22, 1,
15, 1, 2,
15, 3, 1,
15, 4, 2,
15, 6, 1,
15, 8, 2,
15, 21, 1,
15, 22, 2,
15, 23, 1,
16, 1, 1,
16, 2, 1,
16, 7, 2,
16, 21, 1,
16, 23, 1,
17, 2, 2,
17, 3, 1,
17, 4, 1,
17, 8, 1,
17, 13, 1,
17, 14, 1,
17, 15, 1,
17, 19, 2,
17, 20, 1,
17, 21, 1,
17, 23, 1,
18, 11, 1,
18, 14, 2,
18, 18, 2,
18, 20, 1,
18, 21, 1,
19, 4, 2,
19, 6, 1,
19, 8, 2,
19, 11, 1,
19, 18, 1,
19, 19, 1,
19, 23, 1,
20, 6, 1,
20, 8, 1,
20, 10, 1,
20, 16, 1,
20, 17, 1,
20, 18, 1,
20, 19, 1,
20, 23, 1,
21, 6, 2,
21, 7, 1,
21, 15, 1,
21, 16, 2,
22, 7, 1,
22, 8, 2,
22, 10, 1,
22, 13, 3,
22, 16, 1,
22, 17, 1,
22, 18, 1,
22, 20, 1,
22, 21, 1,
