x-coord of first dot, y-coord of first dot, freq
0, 6, 1,
0, 7, 2,
0, 9, 1,
0, 12, 3,
0, 15, 1,
0, 16, 1,
0, 17, 1,
0, 19, 1,
0, 20, 1,
1, 5, 2,
1, 6, 1,
1, 14, 1,
1, 15, 2,
2, 5, 1,
2, 7, 1,
2, 9, 1,
2, 15, 1,
2, 16, 1,
2, 17, 1,
2, 18, 1,
2, 22, 1,
3, 3, 2,
3, 5, 1,
3, 7, 2,
3, 10, 1,
3, 17, 1,
3, 18, 1,
3, 22, 1,
4, 10, 1,
4, 13, 2,
4, 17, 2,
4, 19, 1,
4, 20, 1,
5, 1, 2,
5, 2, 1,
5, 3, 1,
5, 7, 1,
5, 12, 1,
5, 13, 1,
5, 14, 1,
5, 18, 2,
5, 19, 1,
5, 20, 1,
5, 22, 1,
6, 0, 1,
6, 1, 1,
6, 6, 2,
6, 20, 1,
6, 22, 1,
7, 0, 2,
7, 2, 1,
7, 3, 2,
7, 5, 1,
7, 7, 2,
7, 20, 1,
7, 21, 2,
7, 22, 1,
8, 8, 2,
8, 11, 1,
8, 17, 1,
8, 21, 1,
9, 0, 1,
9, 2, 1,
9, 9, 2,
9, 17, 1,
9, 18, 2,
10, 3, 1,
10, 4, 1,
10, 17, 1,
10, 22, 3,
11, 8, 1,
11, 14, 1,
12, 0, 3,
12, 5, 1,
12, 18, 1,
12, 19, 1,
13, 4, 2,
13, 5, 1,
13, 13, 2,
13, 20, 1,
13, 22, 1,
14, 1, 1,
14, 5, 1,
14, 11, 1,
14, 14, 2,
15, 0, 1,
15, 1, 2,
15, 2, 1,
15, 15, 2,
15, 17, 1,
15, 19, 2,
15, 20, 1,
15, 22, 2,
16, 0, 1,
16, 2, 1,
16, 16, 2,
16, 21, 1,
16, 22, 1,
17, 0, 1,
17, 2, 1,
17, 3, 1,
17, 4, 2,
17, 8, 1,
17, 9, 1,
17, 10, 1,
17, 15, 1,
17, 19, 1,
17, 20, 1,
17, 21, 2,
18, 2, 1,
18, 3, 1,
18, 5, 2,
18, 9, 2,
18, 12, 1,
19, 0, 1,
19, 4, 1,
19, 5, 1,
19, 12, 1,
19, 15, 2,
19, 17, 1,
19, 19, 2,
20, 0, 1,
20, 4, 1,
20, 5, 1,
20, 6, 1,
20, 7, 1,
20, 13, 1,
20, 15, 1,
20, 17, 1,
21, 7, 2,
21, 8, 1,
21, 16, 1,
21, 17, 2,
22, 2, 1,
22, 3, 1,
22, 5, 1,
22, 6, 1,
22, 7, 1,
22, 10, 3,
22, 13, 1,
22, 15, 2,
22, 16, 1,
