x, y, freq
0, 0, 8,
0, 1, 2,
0, 2, 3,
0, 3, 5,
0, 4, 9,
0, 5, 7,
0, 6, 10,
0, 7, 10,
0, 8, 11,
0, 9, 10,
0, 10, 7,
0, 11, 18,
0, 12, 18,
0, 13, 7,
0, 14, 10,
0, 15, 11,
0, 16, 10,
0, 17, 10,
0, 18, 7,
0, 19, 9,
0, 20, 5,
0, 21, 3,
0, 22, 2,
0, 23, 8,
1, 0, 2,
1, 1, 4,
1, 2, 8,
1, 3, 8,
1, 4, 7,
1, 5, 8,
1, 6, 8,
1, 7, 9,
1, 8, 15,
1, 9, 12,
1, 10, 14,
1, 11, 5,
1, 12, 5,
1, 13, 14,
1, 14, 12,
1, 15, 15,
1, 16, 9,
1, 17, 8,
1, 18, 8,
1, 19, 7,
1, 20, 8,
1, 21, 8,
1, 22, 4,
1, 23, 2,
2, 0, 3,
2, 1, 8,
2, 2, 2,
2, 3, 8,
2, 4, 9,
2, 5, 11,
2, 6, 9,
2, 7, 13,
2, 8, 13,
2, 9, 9,
2, 10, 9,
2, 11, 6,
2, 12, 6,
2, 13, 9,
2, 14, 9,
2, 15, 13,
2, 16, 13,
2, 17, 9,
2, 18, 11,
2, 19, 9,
2, 20, 8,
2, 21, 2,
2, 22, 8,
2, 23, 3,
3, 0, 5,
3, 1, 8,
3, 2, 8,
3, 3, 4,
3, 4, 7,
3, 5, 9,
3, 6, 10,
3, 7, 9,
3, 8, 9,
3, 9, 10,
3, 10, 10,
3, 11, 11,
3, 12, 11,
3, 13, 10,
3, 14, 10,
3, 15, 9,
3, 16, 9,
3, 17, 10,
3, 18, 9,
3, 19, 7,
3, 20, 4,
3, 21, 8,
3, 22, 8,
3, 23, 5,
4, 0, 9,
4, 1, 7,
4, 2, 9,
4, 3, 7,
4, 4, 6,
4, 5, 6,
4, 6, 7,
4, 7, 10,
4, 8, 7,
4, 9, 7,
4, 10, 12,
4, 11, 13,
4, 12, 13,
4, 13, 12,
4, 14, 7,
4, 15, 7,
4, 16, 10,
4, 17, 7,
4, 18, 6,
4, 19, 6,
4, 20, 7,
4, 21, 9,
4, 22, 7,
4, 23, 9,
5, 0, 7,
5, 1, 8,
5, 2, 11,
5, 3, 9,
5, 4, 6,
5, 5, 10,
5, 6, 10,
5, 7, 7,
5, 8, 4,
5, 9, 9,
5, 10, 9,
5, 11, 10,
5, 12, 10,
5, 13, 9,
5, 14, 9,
5, 15, 4,
5, 16, 7,
5, 17, 10,
5, 18, 10,
5, 19, 6,
5, 20, 9,
5, 21, 11,
5, 22, 8,
5, 23, 7,
6, 0, 10,
6, 1, 8,
6, 2, 9,
6, 3, 10,
6, 4, 7,
6, 5, 10,
6, 6, 4,
6, 7, 11,
6, 8, 10,
6, 9, 6,
6, 10, 10,
6, 11, 5,
6, 12, 5,
6, 13, 10,
6, 14, 6,
6, 15, 10,
6, 16, 11,
6, 17, 4,
6, 18, 10,
6, 19, 7,
6, 20, 10,
6, 21, 9,
6, 22, 8,
6, 23, 10,
7, 0, 10,
7, 1, 9,
7, 2, 13,
7, 3, 9,
7, 4, 10,
7, 5, 7,
7, 6, 11,
7, 7, 14,
7, 8, 2,
7, 9, 6,
7, 10, 3,
7, 11, 6,
7, 12, 6,
