dx, dy, freq
1, -23, 10,
1, -22, 12,
1, -21, 46,
1, -20, 28,
1, -19, 52,
1, -18, 56,
1, -17, 70,
1, -16, 72,
1, -15, 66,
1, -14, 86,
1, -13, 102,
1, -12, 116,
1, -11, 104,
1, -10, 146,
1, -9, 124,
1, -8, 132,
1, -7, 138,
1, -6, 130,
1, -5, 148,
1, -4, 148,
1, -3, 162,
1, -2, 168,
1, -1, 184,
1, 1, 184,
1, 2, 168,
1, 3, 162,
1, 4, 148,
1, 5, 148,
1, 6, 130,
1, 7, 138,
1, 8, 132,
1, 9, 124,
1, 10, 146,
1, 11, 104,
1, 12, 116,
1, 13, 102,
1, 14, 86,
1, 15, 66,
1, 16, 72,
1, 17, 70,
1, 18, 56,
1, 19, 52,
1, 20, 28,
1, 21, 46,
1, 22, 12,
1, 23, 10,
2, -23, 18,
2, -22, 22,
2, -21, 26,
2, -20, 32,
2, -19, 40,
2, -18, 48,
2, -17, 70,
2, -16, 88,
2, -15, 70,
2, -14, 80,
2, -13, 100,
2, -12, 90,
2, -11, 94,
2, -10, 116,
2, -9, 116,
2, -8, 134,
2, -7, 128,
2, -6, 152,
2, -5, 130,
2, -4, 158,
2, -3, 156,
2, -2, 164,
2, -1, 168,
2, 1, 168,
2, 2, 164,
2, 3, 156,
2, 4, 158,
2, 5, 130,
2, 6, 152,
2, 7, 128,
2, 8, 134,
2, 9, 116,
2, 10, 116,
2, 11, 94,
2, 12, 90,
2, 13, 100,
2, 14, 80,
2, 15, 70,
2, 16, 88,
2, 17, 70,
2, 18, 48,
2, 19, 40,
2, 20, 32,
2, 21, 26,
2, 22, 22,
2, 23, 18,
3, -23, 4,
3, -22, 24,
3, -21, 30,
3, -20, 38,
3, -19, 42,
3, -18, 48,
3, -17, 60,
3, -16, 68,
3, -15, 82,
3, -14, 58,
3, -13, 74,
3, -12, 88,
3, -11, 90,
3, -10, 120,
3, -9, 114,
3, -8, 114,
3, -7, 122,
3, -6, 140,
3, -5, 150,
3, -4, 140,
3, -3, 176,
3, -2, 156,
3, -1, 162,
3, 1, 162,
3, 2, 156,
3, 3, 176,
3, 4, 140,
3, 5, 150,
3, 6, 140,
3, 7, 122,
3, 8, 114,
3, 9, 114,
3, 10, 120,
3, 11, 90,
3, 12, 88,
3, 13, 74,
3, 14, 58,
3, 15, 82,
3, 16, 68,
3, 17, 60,
3, 18, 48,
3, 19, 42,
3, 20, 38,
3, 21, 30,
3, 22, 24,
3, 23, 4,
4, -23, 14,
4, -22, 16,
4, -21, 40,
4, -20, 38,
4, -19, 56,
4, -18, 46,
4, -17, 46,
4, -16, 52,
4, -15, 74,
4, -14, 86,
4, -13, 82,
4, -12, 82,
4, -11, 84,
4, -10, 100,
4, -9, 118,
4, -8, 114,
4, -7, 112,
4, -6, 132,
4, -5, 122,
4, -4, 140,
4, -3, 140,
4, -2, 158,
4, -1, 148,
4, 1, 148,
4, 2, 158,
4, 3, 140,
4, 4, 140,
4, 5, 122,
4, 6, 132,
4, 7, 112,
4, 8, 114,
4, 9, 118,
4, 10, 100,
4, 11, 84,
4, 12, 82,
4, 13, 82,
4, 14, 86,
4, 15, 74,
4, 16, 52,
4, 17, 46,
4, 18, 46,
4, 19, 56,
4, 20, 38,
4, 21, 40,
4, 22, 16,
4, 23, 14,
5, -23, 14,
5, -22, 20,
5, -21, 22,
5, -20, 30,
5, -19, 34,
5, -18, 60,
5, -17, 38,
5, -16, 42,
5, -15, 56,
5, -14, 76,
5, -13, 74,
5, -12, 88,
5, -11, 94,
5, -10, 88,
5, -9, 108,
5, -8, 114,
5, -7, 138,
5, -6, 130,
5, -5, 124,
5, -4, 122,
5, -3, 150,
5, -2, 130,
5, -1, 148,
5, 1, 148,
5, 2, 130,
5, 3, 150,
5, 4, 122,
5, 5, 124,
5, 6, 130,
5, 7, 138,
5, 8, 114,
5, 9, 108,
5, 10, 88,
5, 11, 94,
5, 12, 88,
5, 13, 74,
5, 14, 76,
5, 15, 56,
5, 16, 42,
5, 17, 38,
5, 18, 60,
5, 19, 34,
5, 20, 30,
5, 21, 22,
5, 22, 20,
5, 23, 14,
6, -23, 8,
6, -22, 22,
6, -21, 10,
6, -20, 18,
6, -19, 46,
6, -18, 38,
6, -17, 46,
6, -16, 64,
6, -15, 50,
6, -14, 66,
6, -13, 68,
6, -12, 88,
6, -11, 88,
6, -10, 76,
6, -9, 96,
6, -8, 106,
6, -7, 110,
6, -6, 116,
6, -5, 130,
6, -4, 132,
6, -3, 140,
6, -2, 152,
6, -1, 130,
6, 1, 130,
6, 2, 152,
6, 3, 140,
6, 4, 132,
6, 5, 130,
6, 6, 116,
6, 7, 110,
6, 8, 106,
6, 9, 96,
6, 10, 76,
6, 11, 88,
6, 12, 88,
6, 13, 68,
6, 14, 66,
6, 15, 50,
6, 16, 64,
6, 17, 46,
6, 18, 38,
6, 19, 46,
6, 20, 18,
6, 21, 10,
6, 22, 22,
6, 23, 8,
7, -23, 8,
7, -22, 8,
7, -21, 14,
7, -20, 38,
7, -19, 22,
7, -18, 38,
7, -17, 56,
7, -16, 40,
7, -15, 64,
7, -14, 64,
7, -13, 80,
7, -12, 76,
7, -11, 76,
7, -10, 80,
7, -9, 94,
7, -8, 114,
7, -7, 80,
7, -6, 110,
7, -5, 138,
7, -4, 112,
7, -3, 122,
7, -2, 128,
7, -1, 138,
7, 1, 138,
7, 2, 128,
7, 3, 122,
7, 4, 112,
7, 5, 138,
7, 6, 110,
7, 7, 80,
7, 8, 114,
7, 9, 94,
7, 10, 80,
7, 11, 76,
7, 12, 76,
7, 13, 80,
7, 14, 64,
7, 15, 64,
7, 16, 40,
7, 17, 56,
7, 18, 38,
7, 19, 22,
7, 20, 38,
7, 21, 14,
7, 22, 8,
7, 23, 8,
